downloaded from http://massey.dur.ac.uk/drf/HD_He/He-HD.rate_coefficients
HD - He (Roueff, E. & Zeippen, C.J., 1999, A&A, 343, 1005)

       J       E(K)
      0.000     0.0
      1.000   128.4
      2.000   384.2
      3.000   765.9
      4.000  1270.7
      5.000  1895.3
      6.000  2635.8
      7.000  3487.5
      8.000  4445.1
      9.000  5503.3

 taux d excitation (centimetre cube*seconde(-1)  )
 ---------------------------------------------------
   temperature cinetique=    80.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 1.306D-11 1.393D-12 2.114D-13 2.446D-14 3.226D-15 4.376D-16 6.074D-17 8.675D-18 1.712D-18
   1.0    7.875D-12 0.000D+00 1.354D-11 1.020D-12 1.420D-13 1.654D-14 2.107D-15 2.898D-16 4.005D-17 7.658D-18
   2.0    5.714D-14 9.209D-13 0.000D+00 9.357D-12 6.048D-13 6.961D-14 8.210D-15 1.021D-15 1.373D-16 2.465D-17
   3.0    1.029D-16 8.238D-16 1.111D-13 0.000D+00 5.856D-12 3.388D-13 3.410D-14 3.906D-15 4.740D-16 7.832D-17
   4.0    2.783D-20 2.680D-19 1.678D-17 1.369D-14 0.000D+00 3.541D-12 1.881D-13 1.683D-14 1.850D-15 2.615D-16
   5.0    1.823D-24 1.550D-23 9.590D-22 3.932D-19 1.759D-15 0.000D+00 2.141D-12 1.032D-13 8.463D-15 9.979D-16
   6.0    2.792D-29 2.229D-28 1.277D-26 4.470D-24 1.055D-20 2.418D-16 0.000D+00 1.311D-12 5.721D-14 4.550D-15
   7.0    1.063D-34 8.414D-34 4.357D-32 1.404D-29 2.589D-26 3.196D-22 3.598D-17 0.000D+00 8.163D-13 3.338D-14
   8.0    1.088D-40 8.336D-40 4.200D-38 1.222D-35 2.040D-32 1.879D-28 1.125D-23 5.852D-18 0.000D+00 5.649D-13
   9.0    4.320D-47 3.206D-46 1.517D-44 4.061D-42 5.801D-39 4.458D-35 1.800D-30 4.814D-25 1.137D-18 0.000D+00

   temperature cinetique=   100.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 1.518D-11 1.744D-12 2.853D-13 3.505D-14 4.864D-15 6.868D-16 9.902D-17 1.455D-17 2.328D-18
   1.0    1.261D-11 0.000D+00 1.631D-11 1.340D-12 2.000D-13 2.461D-14 3.277D-15 4.690D-16 6.681D-17 1.046D-17
   2.0    1.869D-13 2.104D-12 0.000D+00 1.169D-11 8.225D-13 1.014D-13 1.258D-14 1.631D-15 2.269D-16 3.400D-17
   3.0    9.423D-16 5.327D-15 3.602D-13 0.000D+00 7.545D-12 4.750D-13 5.107D-14 6.134D-15 7.734D-16 1.097D-16
   4.0    9.558D-19 6.562D-18 2.092D-16 6.229D-14 0.000D+00 4.685D-12 2.713D-13 2.576D-14 2.966D-15 3.747D-16
   5.0    3.140D-22 1.912D-21 6.105D-20 9.285D-18 1.109D-14 0.000D+00 2.899D-12 1.521D-13 1.322D-14 1.475D-15
   6.0    3.187D-26 1.830D-25 5.446D-24 7.177D-22 4.618D-19 2.084D-15 0.000D+00 1.811D-12 8.599D-14 6.951D-15
   7.0    1.060D-30 6.043D-30 1.629D-28 1.988D-26 1.012D-23 2.522D-20 4.177D-16 0.000D+00 1.146D-12 5.136D-14
   8.0    1.224D-35 6.764D-35 1.781D-33 1.970D-31 9.150D-29 1.723D-25 1.559D-21 9.002D-17 0.000D+00 8.024D-13
   9.0    5.551D-41 3.003D-40 7.564D-39 7.920D-37 3.277D-34 5.448D-31 3.572D-27 1.144D-22 2.275D-17 0.000D+00

   temperature cinetique=   120.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 1.724D-11 2.110D-12 3.706D-13 4.813D-14 7.034D-15 1.037D-15 1.551D-16 2.346D-17 3.394D-18
   1.0    1.774D-11 0.000D+00 1.909D-11 1.697D-12 2.699D-13 3.511D-14 4.894D-15 7.285D-16 1.070D-16 1.525D-17
   2.0    4.290D-13 3.772D-12 0.000D+00 1.413D-11 1.074D-12 1.414D-13 1.847D-14 2.499D-15 3.598D-16 4.956D-17
   3.0    4.387D-15 1.952D-14 8.223D-13 0.000D+00 9.375D-12 6.389D-13 7.319D-14 9.228D-15 1.210D-15 1.603D-16
   4.0    1.091D-17 5.944D-17 1.197D-15 1.795D-13 0.000D+00 5.968D-12 3.747D-13 3.777D-14 4.556D-15 5.506D-16
   5.0    1.069D-20 5.185D-20 1.057D-18 8.204D-17 4.002D-14 0.000D+00 3.773D-12 2.146D-13 1.979D-14 2.183D-15
   6.0    3.891D-24 1.785D-23 3.409D-22 2.321D-20 6.205D-18 9.318D-15 0.000D+00 2.400D-12 1.238D-13 1.033D-14
   7.0    5.555D-28 2.535D-27 4.401D-26 2.792D-24 5.967D-22 5.057D-19 2.290D-15 0.000D+00 1.543D-12 7.518D-14
   8.0    3.257D-32 1.444D-31 2.457D-30 1.419D-28 2.791D-26 1.808D-23 4.579D-20 5.982D-16 0.000D+00 1.091D-12
   9.0    7.794D-37 3.401D-36 5.596D-35 3.110D-33 5.578D-31 3.297D-28 6.316D-25 4.820D-21 1.805D-16 0.000D+00

   temperature cinetique=   140.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 1.923D-11 2.486D-12 4.665D-13 6.381D-14 9.810D-15 1.510D-15 2.344D-16 3.650D-17 5.146D-18
   1.0    2.306D-11 0.000D+00 2.185D-11 2.084D-12 3.518D-13 4.830D-14 7.049D-15 1.091D-15 1.654D-16 2.301D-17
   2.0    7.988D-13 5.855D-12 0.000D+00 1.664D-11 1.357D-12 1.903D-13 2.612D-14 3.690D-15 5.501D-16 7.436D-17
   3.0    1.374D-14 5.121D-14 1.525D-12 0.000D+00 1.132D-11 8.302D-13 1.010D-13 1.337D-14 1.823D-15 2.389D-16
   4.0    6.565D-17 3.019D-16 4.344D-15 3.954D-13 0.000D+00 7.373D-12 4.989D-13 5.334D-14 6.740D-15 8.144D-16
   5.0    1.424D-19 5.845D-19 8.596D-18 4.090D-16 1.040D-13 0.000D+00 4.755D-12 2.920D-13 2.852D-14 3.199D-15
   6.0    1.307D-22 5.088D-22 7.035D-21 2.968D-19 4.197D-17 2.836D-14 0.000D+00 3.078D-12 1.718D-13 1.492D-14
   7.0    5.335D-26 2.071D-25 2.614D-24 1.033D-22 1.180D-20 4.580D-18 8.095D-15 0.000D+00 2.009D-12 1.056D-13
   8.0    1.007D-29 3.805D-29 4.723D-28 1.707D-26 1.807D-24 5.422D-22 5.475D-19 2.436D-15 0.000D+00 1.433D-12
   9.0    8.277D-34 3.087D-33 3.722D-32 1.304D-30 1.273D-28 3.545D-26 2.772D-23 7.465D-20 8.351D-16 0.000D+00

   temperature cinetique=   160.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 2.117D-11 2.868D-12 5.721D-13 8.216D-14 1.326D-14 2.132D-15 3.429D-16 5.507D-17 7.855D-18
   1.0    2.847D-11 0.000D+00 2.457D-11 2.498D-12 4.457D-13 6.441D-14 9.833D-15 1.582D-15 2.476D-16 3.491D-17
   2.0    1.299D-12 8.273D-12 0.000D+00 1.919D-11 1.669D-12 2.484D-13 3.578D-14 5.272D-15 8.143D-16 1.117D-16
   3.0    3.339D-14 1.084D-13 2.473D-12 0.000D+00 1.336D-11 1.048D-12 1.351D-13 1.876D-14 2.658D-15 3.549D-16
   4.0    2.629D-16 1.060D-15 1.179D-14 7.322D-13 0.000D+00 8.885D-12 6.444D-13 7.292D-14 9.646D-15 1.193D-15
   5.0    1.045D-18 3.776D-18 4.324D-17 1.416D-15 2.189D-13 0.000D+00 5.837D-12 3.853D-13 3.977D-14 4.603D-15
   6.0    1.942D-21 6.659D-21 7.195D-20 2.107D-18 1.834D-16 6.743D-14 0.000D+00 3.841D-12 2.309D-13 2.096D-14
   7.0    1.757D-24 6.028D-24 5.965D-23 1.646D-21 1.168D-19 2.504D-17 2.161D-14 0.000D+00 2.544D-12 1.435D-13
   8.0    8.043D-28 2.689D-27 2.626D-26 6.650D-25 4.403D-23 7.367D-21 3.702D-18 7.251D-15 0.000D+00 1.826D-12
   9.0    1.720D-31 5.685D-31 5.404D-30 1.331D-28 8.163D-27 1.279D-24 5.041D-22 6.134D-19 2.738D-15 0.000D+00

   temperature cinetique=   180.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 2.304D-11 3.252D-12 6.864D-13 1.032D-13 1.745D-14 2.926D-15 4.874D-16 8.079D-17 1.184D-17
   1.0    3.388D-11 0.000D+00 2.724D-11 2.933D-12 5.511D-13 8.364D-14 1.334D-14 2.228D-15 3.605D-16 5.225D-17
   2.0    1.923D-12 1.096D-11 0.000D+00 2.175D-11 2.007D-12 3.158D-13 4.766D-14 7.318D-15 1.171D-15 1.655D-16
   3.0    6.819D-14 1.982D-13 3.655D-12 0.000D+00 1.546D-11 1.292D-12 1.757D-13 2.556D-14 3.765D-15 5.185D-16
   4.0    7.982D-16 2.899D-15 2.624D-14 1.204D-12 0.000D+00 1.049D-11 8.114D-13 9.695D-14 1.341D-14 1.714D-15
   5.0    5.129D-18 1.673D-17 1.570D-16 3.823D-15 3.988D-13 0.000D+00 7.011D-12 4.950D-13 5.389D-14 6.478D-15
   6.0    1.662D-20 5.152D-20 4.577D-19 1.004D-17 5.959D-16 1.354D-13 0.000D+00 4.685D-12 3.019D-13 2.870D-14
   7.0    2.814D-23 8.750D-23 7.144D-22 1.485D-20 7.238D-19 9.719D-17 4.762D-14 0.000D+00 3.145D-12 1.895D-13
   8.0    2.585D-26 7.846D-26 6.338D-25 1.213D-23 5.549D-22 5.865D-20 1.701D-17 1.743D-14 0.000D+00 2.271D-12
   9.0    1.185D-29 3.556D-29 2.800D-28 5.222D-27 2.218D-25 2.205D-23 5.056D-21 3.284D-18 7.102D-15 0.000D+00

   temperature cinetique=   200.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 2.485D-11 3.636D-12 8.084D-13 1.270D-13 2.242D-14 3.915D-15 6.750D-16 1.155D-16 1.748D-17
   1.0    3.924D-11 0.000D+00 2.985D-11 3.386D-12 6.678D-13 1.061D-13 1.764D-14 3.058D-15 5.115D-16 7.660D-17
   2.0    2.662D-12 1.384D-11 0.000D+00 2.432D-11 2.368D-12 3.927D-13 6.196D-14 9.900D-15 1.642D-15 2.400D-16
   3.0    1.229D-13 3.261D-13 5.051D-12 0.000D+00 1.762D-11 1.560D-12 2.233D-13 3.397D-14 5.198D-15 7.414D-16
   4.0    1.989D-15 6.626D-15 5.067D-14 1.816D-12 0.000D+00 1.217D-11 9.995D-13 1.258D-13 1.817D-14 2.409D-15
   5.0    1.889D-17 5.665D-17 4.521D-16 8.646D-15 6.549D-13 0.000D+00 8.268D-12 6.217D-13 7.121D-14 8.909D-15
   6.0    9.617D-20 2.744D-19 2.079D-18 3.608D-17 1.567D-15 2.410D-13 0.000D+00 5.606D-12 3.857D-13 3.836D-14
   7.0    2.705D-22 7.762D-22 5.419D-21 8.952D-20 3.218D-18 2.957D-16 9.146D-14 0.000D+00 3.812D-12 2.442D-13
   8.0    4.370D-25 1.225D-24 8.482D-24 1.293D-22 4.386D-21 3.196D-19 5.938D-17 3.597D-14 0.000D+00 2.768D-12
   9.0    3.721D-28 1.033D-27 6.977D-27 1.038D-25 3.273D-24 2.250D-22 3.324D-20 1.297D-17 1.558D-14 0.000D+00

   temperature cinetique=   220.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
